,onset,window,S,C
0,1,6,-13.80209648030508,0.035012510996915054
0,1,12,13.162406371173544,0.03291307281920697
0,1,18,1.5249917367440946,0.03451727655387424
0,1,24,-0.2882023880652255,0.03380503642272888
0,3,6,11.753600207846697,0.0344107441650267
0,3,12,-7.149204791596919,0.03432047353048643
0,3,18,5.541600677200085,0.03447864365334983
0,3,24,0.9417337178113772,0.034746645050689785
0,5,6,-1.9877553765170912,0.03414212087830931
0,5,12,-1.1023224218249745,0.03548371144961056
0,5,18,-0.09255726267491773,0.034503830760339776
0,5,24,2.234648216163155,0.03504252613905035
0,7,6,3.79520672064671,0.0344036155292325
0,7,12,-4.283084957313121,0.03556422289783985
0,7,18,-12.018450315027254,0.03460126174721362
0,7,24,0.3843186094046895,0.03522717847661563
0,9,6,13.586669423884807,0.034896263825873734
0,9,12,-7.865229630892616,0.03578511478820898
0,9,18,-5.269347005222872,0.03506427184105941
0,9,24,3.56145682995,0.03540385482917117
0,11,6,8.979080966555445,0.03581689547808195
0,11,12,-0.22379766341967966,0.03600267754374158
0,11,18,1.3496465102067647,0.03546493598125559
0,11,24,-4.465453131250336,0.03570073477077391
